Item,Location,Flag
Armada Shroom 26,Shroom: Kerrington - Rain Entryway 3,NOTE_MONSTER26
Armada Shroom 27,Shroom: Kerrington - Rain Entryway 2,NOTE_MONSTER27
Armada Shroom 28,Shroom: Kerrington - Hammocks Entryway 2,NOTE_MONSTER28
Armada Shroom 29,Shroom: Kerrington - Hammocks Entryway 1,NOTE_MONSTER29
Armada Shroom 30,Shroom: Kerrington - Cockpit Entry 3,NOTE_MONSTER30
Armada Shroom 31,Shroom: Kerrington - Cockpit Entry 2,NOTE_MONSTER31
Armada Shroom 32,Shroom: Kerrington - Cockpit Entry 1,NOTE_MONSTER32
Armada Shroom 33,Shroom: Kerrington - Cockpit Entry 6,NOTE_MONSTER33
Armada Shroom 34,Shroom: Kerrington - Cockpit Entry 5,NOTE_MONSTER34
Armada Shroom 35,Shroom: Kerrington - Cockpit Entry 4,NOTE_MONSTER35
Armada Shroom 36,Shroom: Kerrington - Rain Below Medicine 3,NOTE_MONSTER36
Armada Shroom 37,Shroom: Kerrington - Rain Below Medicine 2,NOTE_MONSTER37
Armada Shroom 38,Shroom: Kerrington - Rain Below Boiler 1,NOTE_MONSTER38
Armada Shroom 39,Shroom: Kerrington - Rain Below Boiler 2,NOTE_MONSTER39
Armada Shroom 40,Shroom: Kerrington - Rain Below Boiler 3,NOTE_MONSTER40
Armada Shroom 41,Shroom: Kerrington - Rain Below Medicine 1,NOTE_MONSTER41
Armada Shroom 42,Shroom: Kerrington - Rain Plant Base,NOTE_MONSTER42
Armada Shroom 43,Shroom: Kerrington - Rain Plant 1,NOTE_MONSTER43
Armada Shroom 44,Shroom: Kerrington - Lab Rain Connector 5,NOTE_MONSTER44
Armada Shroom 45,Shroom: Kerrington - Lab Rain Connector 6,NOTE_MONSTER45
Armada Shroom 46,Shroom: Kerrington - Lab Rain Connector 4,NOTE_MONSTER46
Armada Shroom 47,Shroom: Kerrington - Lab Rain Connector 3,NOTE_MONSTER47
Armada Shroom 48,Shroom: Kerrington - Lab Rain Connector 2,NOTE_MONSTER48
Armada Shroom 49,Shroom: Kerrington - Lab Rain Connector 1,NOTE_MONSTER49
Armada Shroom 50,Shroom: Kerrington - Lab Entryway 4,NOTE_MONSTER50
Armada Shroom 51,Shroom: Kerrington - Lab Entryway 3,NOTE_MONSTER51
Armada Shroom 52,Shroom: Kerrington - Lab Entryway 2,NOTE_MONSTER52
Armada Shroom 53,Shroom: Kerrington - Lab Entryway 1,NOTE_MONSTER53
Armada Shroom 54,Shroom: Kerrington - Pipe 5,NOTE_MONSTER54
Armada Shroom 55,Shroom: Kerrington - Pipe 4,NOTE_MONSTER55
Armada Shroom 56,Shroom: Kerrington - Pipe 3,NOTE_MONSTER56
Armada Shroom 57,Shroom: Kerrington - Pipe 2,NOTE_MONSTER57
Armada Shroom 58,Shroom: Kerrington - Pipe 1,NOTE_MONSTER58
Armada Shroom 59,Shroom: Kerrington - Pipe Ramp 3,NOTE_MONSTER59
Armada Shroom 60,Shroom: Kerrington - Pipe Ramp 2,NOTE_MONSTER60
Armada Shroom 61,Shroom: Kerrington - Pipe Ramp 1,NOTE_MONSTER61
Armada Shroom 62,Shroom: Kerrington - Rain Entryway 1,NOTE_MONSTER62
Armada Shroom 63,Shroom: Kerrington - Slide Entryway 1,NOTE_MONSTER63
Armada Shroom 64,Shroom: Kerrington - Slide Entryway 2,NOTE_MONSTER64
Armada Shroom 65,Shroom: Kerrington - Slide Entryway 3,NOTE_MONSTER65
Armada Shroom 66,Shroom: Kerrington - Rain Plant 2,NOTE_MONSTER66
Armada Shroom 67,Shroom: Kerrington - Rain Plant 3,NOTE_MONSTER67
Armada Shroom 68,Shroom: Kerrington - Rain Plant 4,NOTE_MONSTER68
Armada Shroom 69,Shroom: Kerrington - Rain Above Boiler 4,NOTE_MONSTER69
Armada Shroom 70,Shroom: Kerrington - Rain Above Boiler 2,NOTE_MONSTER70
Armada Shroom 71,Shroom: Kerrington - Rain Above Boiler 1,NOTE_MONSTER71
Armada Shroom 72,Shroom: Kerrington - Rain Above Boiler 3,NOTE_MONSTER72
Armada Shroom 73,Shroom: Armada Entry Drone - Ledges 6,NOTE_MONSTER73
Armada Shroom 74,Shroom: Armada Entry Drone - Ledges 5,NOTE_MONSTER74
Armada Shroom 75,Shroom: Armada Entry Drone - Ledges 4,NOTE_MONSTER75
Armada Shroom 76,Shroom: Armada Entry Drone - Ledges 3,NOTE_MONSTER76
Armada Shroom 77,Shroom: Armada Entry Drone - Ledges 7,NOTE_MONSTER77
Armada Shroom 78,Shroom: Armada Entry Drone - Ledges 8,NOTE_MONSTER78
Armada Shroom 79,Shroom: Armada Entry Drone - Ledges 1,NOTE_MONSTER79
Armada Shroom 80,Shroom: Armada Entry Drone - Ledges 2,NOTE_MONSTER80

Palace Shroom 1,Shroom: Prismic Palace - Poms 5,NOTE_PALACE1
Palace Shroom 2,Shroom: Prismic Palace - Poms 3,NOTE_PALACE2
Palace Shroom 3,Shroom: Prismic Palace - Poms 4,NOTE_PALACE3
Palace Shroom 4,Shroom: Prismic Palace - Poms 2,NOTE_PALACE4
Palace Shroom 5,Shroom: Prismic Palace - Poms 1,NOTE_PALACE5
Palace Shroom 6,Shroom: Prismic Palace - Entry Tree 2,NOTE_PALACE6
Palace Shroom 7,Shroom: Prismic Palace - Entry Tree 1,NOTE_PALACE7
Palace Shroom 8,Shroom: Prismic Palace - Entry Tree 3,NOTE_PALACE8
Palace Shroom 9,Shroom: Prismic Palace - Entry 1,NOTE_PALACE9
Palace Shroom 10,Shroom: Prismic Palace - Entry 2,NOTE_PALACE10
Palace Shroom 11,Shroom: Prismic Palace - Entry 3,NOTE_PALACE11
Palace Shroom 12,Shroom: Prismic Palace - Jester Boots 1,NOTE_PALACE12
Palace Shroom 13,Shroom: Prismic Palace - Jester Boots 2,NOTE_PALACE13
Palace Shroom 14,Shroom: Prismic Palace - Jester Boots 3,NOTE_PALACE14
Palace Shroom 15,Shroom: Prismic Palace - Jester Boots 4,NOTE_PALACE15
Palace Shroom 16,Shroom: Prismic Palace - Jester Boots 5,NOTE_PALACE16
Palace Shroom 17,Shroom: Prismic Palace - Pom Spire 1,NOTE_PALACE17
Palace Shroom 18,Shroom: Prismic Palace - Pom Spire 2,NOTE_PALACE18
Palace Shroom 19,Shroom: Prismic Palace - Pom Spire 3,NOTE_PALACE19
Palace Shroom 20,Shroom: Prismic Palace - Pom Spire 4,NOTE_PALACE20
Palace Shroom 21,Shroom: Prismic Palace - Pom Spire 5,NOTE_PALACE21
Palace Shroom 22,Shroom: Prismic Palace - Observatory Spire 1,NOTE_PALACE22
Palace Shroom 23,Shroom: Prismic Palace - Observatory Spire 2,NOTE_PALACE23
Palace Shroom 24,Shroom: Prismic Palace - Observatory Spire 3,NOTE_PALACE24
Palace Shroom 25,Shroom: Prismic Palace - Observatory Spire 4,NOTE_PALACE25
Palace Shroom 26,Shroom: Prismic Palace - Observatory Spire 5,NOTE_PALACE26
Palace Shroom 27,Shroom: Prismic Palace - Lake Gobbler 2,NOTE_PALACE27
Palace Shroom 28,Shroom: Prismic Palace - Lake Gobbler 3,NOTE_PALACE28
Palace Shroom 29,Shroom: Prismic Palace - Lake Gobbler 1,NOTE_PALACE29
Palace Shroom 30,Shroom: Prismic Palace - Lake Plants 2,NOTE_PALACE30
Palace Shroom 31,Shroom: Prismic Palace - Lake Plants 3,NOTE_PALACE31
Palace Shroom 32,Shroom: Prismic Palace - Lake Plants 1,NOTE_PALACE32
Palace Shroom 33,Shroom: Prismic Palace - Lake Plants 5,NOTE_PALACE33
Palace Shroom 34,Shroom: Prismic Palace - Lake Plants 6,NOTE_PALACE34
Palace Shroom 35,Shroom: Prismic Palace - Lake Plants 4,NOTE_PALACE35
Palace Shroom 36,Shroom: Prismic Palace - Lake Basement Overpass 3,NOTE_PALACE36
Palace Shroom 37,Shroom: Prismic Palace - Lake Basement Overpass 4,NOTE_PALACE37
Palace Shroom 38,Shroom: Prismic Palace - Lake Basement Overpass 5,NOTE_PALACE38
Palace Shroom 39,Shroom: Prismic Palace - Lake Basement Overpass 2,NOTE_PALACE39
Palace Shroom 40,Shroom: Prismic Palace - Lake Basement Overpass 1,NOTE_PALACE40
Palace Shroom 41,Shroom: Prismic Palace - Lake Mushroom Cave 3,NOTE_PALACE41
Palace Shroom 42,Shroom: Prismic Palace - Lake Mushroom Cave 4,NOTE_PALACE42
Palace Shroom 43,Shroom: Prismic Palace - Lake Mushroom Cave 5,NOTE_PALACE43
Palace Shroom 44,Shroom: Prismic Palace - Lake Mushroom Cave 2,NOTE_PALACE44
Palace Shroom 45,Shroom: Prismic Palace - Lake Mushroom Cave 1,NOTE_PALACE45
Palace Shroom 46,Shroom: Prismic Palace - Observatory Slide 5,NOTE_PALACE46
Palace Shroom 47,Shroom: Prismic Palace - Observatory Slide 4,NOTE_PALACE47
Palace Shroom 48,Shroom: Prismic Palace - Observatory Slide 3,NOTE_PALACE48
Palace Shroom 49,Shroom: Prismic Palace - Observatory Slide 2,NOTE_PALACE49
Palace Shroom 50,Shroom: Prismic Palace - Observatory Slide 1,NOTE_PALACE50
Palace Shroom 51,Shroom: Prismic Palace - Poki-Poki Cave 1,NOTE_PALACE51
Palace Shroom 52,Shroom: Prismic Palace - Poki-Poki Cave 2,NOTE_PALACE52
Palace Shroom 53,Shroom: Prismic Palace - Poki-Poki Cave 3,NOTE_PALACE53
Palace Shroom 54,Shroom: Prismic Palace - Poki-Poki Cave 4,NOTE_PALACE54
Palace Shroom 55,Shroom: Prismic Palace - Poki-Poki Cave 5,NOTE_PALACE55
Palace Shroom 56,Shroom: Prismic Palace - Pool 1,NOTE_PALACE56
Palace Shroom 57,Shroom: Prismic Palace - Pool 2,NOTE_PALACE57
Palace Shroom 58,Shroom: Prismic Palace - Pool 3,NOTE_PALACE58
Palace Shroom 59,Shroom: Prismic Palace - Pool 4,NOTE_PALACE59
Palace Shroom 60,Shroom: Prismic Palace - Pool 5,NOTE_PALACE60
Palace Shroom 61,Shroom: Prismic Palace - Lake Basement Entry 3,NOTE_PALACE61
Palace Shroom 62,Shroom: Prismic Palace - Lake Basement Entry 4,NOTE_PALACE62
Palace Shroom 63,Shroom: Prismic Palace - Lake Basement Entry 5,NOTE_PALACE63
Palace Shroom 64,Shroom: Prismic Palace - Lake Basement Entry 6,NOTE_PALACE64
Palace Shroom 65,Shroom: Prismic Palace - Lake Basement Entry 8,NOTE_PALACE65
Palace Shroom 66,Shroom: Prismic Palace - Lake Basement Entry 7,NOTE_PALACE66
Palace Shroom 67,Shroom: Prismic Palace - Lake Basement Entry 2,NOTE_PALACE67
Palace Shroom 68,Shroom: Prismic Palace - Lake Basement Entry 1,NOTE_PALACE68
Palace Shroom 69,Shroom: Prismic Palace - Lake Corner 1,NOTE_PALACE69
Palace Shroom 70,Shroom: Prismic Palace - Lake Corner 2,NOTE_PALACE70
Palace Shroom 71,Shroom: Prismic Palace - Lake Corner 3,NOTE_PALACE71
Palace Shroom 72,Shroom: Prismic Palace - Lake Behind 3,NOTE_PALACE72
Palace Shroom 73,Shroom: Prismic Palace - Lake Behind 1,NOTE_PALACE73
Palace Shroom 74,Shroom: Prismic Palace - Lake Behind 2,NOTE_PALACE74
Palace Shroom 75,Shroom: Prismic Palace - Pool Bridges 2,NOTE_PALACE75
Palace Shroom 76,Shroom: Prismic Palace - Pool Bridges 3,NOTE_PALACE76
Palace Shroom 77,Shroom: Prismic Palace - Pool Bridges 1,NOTE_PALACE77
Palace Shroom 78,Shroom: Prismic Palace - Pool Bridges 5,NOTE_PALACE78
Palace Shroom 79,Shroom: Prismic Palace - Pool Bridges 4,NOTE_PALACE79
Palace Shroom 80,Shroom: Prismic Palace - Pool Bridges 6,NOTE_PALACE80
Palace Shroom 81,Shroom: Palace Interior - Star Puzzle 3,NOTE_PALACE81
Palace Shroom 82,Shroom: Palace Interior - Star Puzzle 1,NOTE_PALACE82
Palace Shroom 83,Shroom: Palace Interior - Star Puzzle 2,NOTE_PALACE83
Palace Shroom 84,Shroom: Palace Interior - Heaven's Path Entry 3,NOTE_PALACE84
Palace Shroom 85,Shroom: Palace Interior - Heaven's Path Entry 1,NOTE_PALACE85
Palace Shroom 86,Shroom: Palace Interior - Heaven's Path Entry 2,NOTE_PALACE86
Palace Shroom 87,Shroom: Palace Interior - Bubble Conch Room 3,NOTE_PALACE87
Palace Shroom 88,Shroom: Palace Interior - Bubble Conch Room 1,NOTE_PALACE88
Palace Shroom 89,Shroom: Palace Interior - Bubble Conch Room 2,NOTE_PALACE89
Palace Shroom 90,Shroom: Palace Interior - Sentry Control Chamber 3,NOTE_PALACE90
Palace Shroom 91,Shroom: Palace Interior - Sentry Control Chamber 1,NOTE_PALACE91
Palace Shroom 92,Shroom: Palace Interior - Sentry Control Chamber 2,NOTE_PALACE92
Palace Shroom 93,Shroom: Palace Interior - Palace Back 1,NOTE_PALACE93
Palace Shroom 94,Shroom: Palace Interior - Palace Back 2,NOTE_PALACE94
Palace Shroom 95,Shroom: Palace Interior - Palace Back 3,NOTE_PALACE95
Palace Shroom 96,Shroom: Palace Interior - Palace Back 4,NOTE_PALACE96
Palace Shroom 97,Shroom: Palace Interior - Palace Back 5,NOTE_PALACE97
Palace Shroom 98,Shroom: Palace Interior - Palace Back 6,NOTE_PALACE98
Palace Shroom 99,Shroom: Palace Interior - Bubble Conch Room 4,NOTE_PALACE99
Palace Shroom 100,Shroom: Palace Interior - Bubble Conch Room 5,NOTE_PALACE100
